fips,r_670,r_680,r_690,r_700,r_710,r_max,TO5_beta,TO7_beta,TO10_beta
5001,0.102091871493493,0.106716033388482,0.109614785878052,0.102160127837306,0.0688027357397233,0.109614785878052,0.47,0.44,0.42
5003,0.0895742689044521,0.0931843835508591,0.0987712938805515,0.0964682396729104,0.077341101955308,0.0987712938805515,0.45,0.41,0.39
5005,0.0333628893831356,0.0391540540058043,0.0558028708042846,0.0594529933665316,0.0479572444650632,0.0594529933665316,0.36,0.33,0.31
5007,0.0611824764846119,0.0699991248568393,0.0797033475725457,0.0796280234933477,0.0624318989084677,0.0797033475725457,0.4,0.37,0.35
5009,0.0424220648594274,0.0474293852456737,0.0615458396811794,0.0706689795594347,0.0590581002140065,0.0706689795594347,0.38,0.35,0.33
5011,0.0830370708798675,0.0957571958159847,0.108668522745473,0.10708294350242,0.0913286405359238,0.108668522745473,0.47,0.44,0.41
5013,0.0679629155895088,0.0745056220951016,0.0735610474738428,0.0625104338815729,0.0381836146985859,0.0745056220951016,0.39,0.36,0.34
5015,0.0578981876702998,0.0685998515848734,0.0840476716319163,0.0922706692797695,0.0770272662539119,0.0922706692797695,0.43,0.4,0.38
5017,0.114466100549369,0.117860820826853,0.12486715983937,0.119373460762307,0.0654897868458704,0.12486715983937,0.51,0.48,0.45
5019,0.0657427460358701,0.0701933692401081,0.0681297831760672,0.0478636320079614,0.022481035524693,0.0701933692401081,0.38,0.35,0.33
5021,0.0559591387708195,0.0666144941731768,0.082524987612771,0.0928130310794263,0.0891543635545384,0.0928130310794263,0.43,0.4,0.38
5023,0.0543196449060699,0.064549826554401,0.0792427149795546,0.0827496481707306,0.0635942032073477,0.0827496481707306,0.41,0.38,0.36
5025,0.0817900814001335,0.0848401817621156,0.0939405539080155,0.0922605385231335,0.0683729130706641,0.0939405539080155,0.43,0.4,0.38
5027,0.0995605209029171,0.101716058764122,0.103889218845534,0.0957979116776668,0.0596717989980953,0.103889218845534,0.46,0.43,0.4
5029,0.0664496890363811,0.0756224131127662,0.0890057670510211,0.09178724116364,0.0716106639222537,0.09178724116364,0.43,0.4,0.38
5031,0.0685836357910866,0.072396034291838,0.0726273590160631,0.051952770454097,0.0269325318903537,0.0726273590160631,0.39,0.36,0.34
5033,0.069267885787563,0.0753861119541464,0.0837992434548678,0.0855690158081093,0.0714556648564478,0.0855690158081093,0.41,0.38,0.36
5035,0.0909372282788418,0.0978696001521287,0.0980151435827136,0.0750770490362759,0.032296888682906,0.0980151435827136,0.44,0.41,0.39
5037,0.0860956027667439,0.0908833073130996,0.0969421383635798,0.0893668954235947,0.060205941165907,0.0969421383635798,0.44,0.41,0.39
5039,0.100913590066492,0.106777828869793,0.111431450552324,0.101589105502265,0.0647282276402436,0.111431450552324,0.48,0.44,0.42
5041,0.0843213323104204,0.0940927983467242,0.103476507942018,0.09568966192629,0.0639355669588392,0.103476507942018,0.46,0.42,0.4
5043,0.0906702588135451,0.0953721942235,0.105822004707318,0.105315414908603,0.0784394494313522,0.105822004707318,0.46,0.43,0.41
5045,0.0669871365724654,0.0726994305017985,0.0768123252598515,0.0693008116470162,0.044933534027963,0.0768123252598515,0.39,0.37,0.34
5047,0.0647803192942283,0.0779547336583673,0.0890303041670383,0.0960149494256155,0.0795939111183393,0.0960149494256155,0.44,0.41,0.38
5049,0.0278826369899549,0.0404568524050574,0.0552819769096751,0.0611766703600719,0.0470438384815947,0.0611766703600719,0.36,0.33,0.31
5051,0.0743646890382745,0.0514085277960389,0.0485801062436473,0.0422697153513421,0.0198694013341264,0.0743646890382745,0.39,0.36,0.34
5053,0.076813759359035,0.0812012950603794,0.0925499084966286,0.0889697151337194,0.0655552830770152,0.0925499084966286,0.43,0.4,0.38
5055,0.0621991677080073,0.0680497174725332,0.0762014933835872,0.0690174224744321,0.047022671179774,0.0762014933835872,0.39,0.36,0.34
5057,0.0613968241897681,0.0654402595007833,0.0757865143161475,0.0758173481261678,0.0497591314884749,0.0758173481261678,0.39,0.36,0.34
5059,0.0692395844865529,0.0726096138294293,0.0753193102999432,0.072849004785664,0.0593308768190193,0.0753193102999432,0.39,0.36,0.34
5061,0.0722236995729907,0.0853716406771901,0.106553183825182,0.11248751143349,0.0893976266354673,0.11248751143349,0.48,0.45,0.42
