process_method,method,curve_index,a_value,rep,flow_over_population,prevalence_peak,remaining_flow_pct,epp,unrestricted_flow,unrestricted_peak,isolation_peak,epp_max
33,realtime_county_pchDextS_both,6,0.3,11,0.13947009593655696,87094.0,69.92193982496102,600.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,6,0.3,12,0.13947009593655696,88126.0,69.92193982496102,1632.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,6,0.3,13,0.13947009593655696,88245.0,69.92193982496102,1751.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,6,0.3,14,0.13947009593655696,88336.0,69.92193982496102,1842.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,6,0.3,15,0.13947009593655696,87129.0,69.92193982496102,635.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,6,0.3,16,0.13947009593655696,87689.0,69.92193982496102,1195.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,6,0.3,17,0.13947009593655696,87081.0,69.92193982496102,587.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,6,0.3,18,0.13947009593655696,87035.0,69.92193982496102,541.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,6,0.3,19,0.13947009593655696,88283.0,69.92193982496102,1789.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,6,0.3,20,0.13947009593655696,87249.0,69.92193982496102,755.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,6,0.3,21,0.13947009593655696,86725.0,69.92193982496102,231.32000000000698,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,6,0.3,22,0.13947009593655696,88091.0,69.92193982496102,1597.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,6,0.3,23,0.13947009593655696,86130.0,69.92193982496102,-363.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,6,0.3,24,0.13947009593655696,87666.0,69.92193982496102,1172.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,6,0.3,25,0.13947009593655696,88501.0,69.92193982496102,2007.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,6,0.3,26,0.13947009593655696,87433.0,69.92193982496102,939.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,6,0.3,27,0.13947009593655696,86513.0,69.92193982496102,19.320000000006985,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,6,0.3,28,0.13947009593655696,88167.0,69.92193982496102,1673.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,6,0.3,29,0.13947009593655696,87836.0,69.92193982496102,1342.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,6,0.3,30,0.13947009593655696,86822.0,69.92193982496102,328.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
